stateAbbr,state,poorHealth,cantSeeDocDueToCost,noMammo2Yrs,belowPov,uninsured,unempCivLaborForce
AL,Alabama,7.3,17.4,23,19.3,12.1,4.9
AK,Alaska,3.8,11.9,31.1,11.2,17.2,5.1
AZ,Arizona,4.5,15.5,23.7,18.2,13.6,4.7
AR,Arkansas,7.5,18.2,32,18.9,11.8,3.9
CA,California,4.6,13.5,17.1,16.4,12.4,5.3
CO,Colorado,3.1,13.1,25.8,12,10.3,3.7
CT,Connecticut,3,11.3,16.1,10.8,6.9,5.3
DE,Delaware,3.5,10.8,13.9,12.5,7.8,4.2
DC,District of Columbia,3.5,10.5,18.7,17.7,5.3,6.1
FL,Florida,5.1,17.6,21.5,16.5,16.6,4.7
GA,Georgia,5.7,19,20.1,18.3,15.8,5.1
HI,Hawaii,3.3,8.7,16.3,11.4,5.3,3.3
ID,Idaho,3.7,15.8,31.1,14.8,13.6,3.4
IL,Illinois,3.8,12.4,21.9,14.4,9.7,5.3
IN,Indiana,5.5,15.1,27.6,15.2,11.9,4.5
IA,Iowa,3.2,8.8,19.2,12.2,6.2,3
KS,Kansas,3.8,12.5,23.7,13.6,10.2,3.4
KY,Kentucky,8.4,15.9,20.4,19.1,8.5,4.5
LA,Louisiana,6.9,17.5,20.6,19.8,14.8,4.4
ME,Maine,4.2,10.9,17,14.1,10.1,3.7
MD,Maryland,2.7,10.1,16.6,10.1,7.9,4.8
MA,Massachusetts,4,8.3,11.9,11.6,3.3,4.5
MI,Michigan,5,14.6,18.1,16.2,8.5,5
MN,Minnesota,2.7,9.2,18.3,11.5,5.9,3.3
MS,Mississippi,7.5,19.4,30.4,21.5,14.5,5.6
MO,Missouri,5,13.7,27.5,15.5,11.7,4.2
MT,Montana,4.3,11.9,27,15.4,14.2,3.1
NE,Nebraska,3.3,11.8,23.9,12.4,9.7,2.9
NV,Nevada,4.7,17.3,27.9,15.2,15.2,5.6
NH,New Hampshire,3.9,11.1,16.7,9.2,9.2,3.5
NJ,New Jersey,3.7,14,21.8,11.1,10.9,5
NM,New Mexico,6.2,17.2,28,21.3,14.5,5.1
NY,New York,4.9,14,21.4,15.9,8.7,4.6
NC,North Carolina,5.5,16.2,19.3,17.2,13.1,5.1
ND,North Dakota,3.1,7,24,11.5,7.9,2.1
OH,Ohio,4.8,13.1,24.2,15.8,8.4,4.5
OK,Oklahoma,6.4,15,29.9,16.6,15.4,3.4
OR,Oregon,4.6,14.4,23,16.6,9.7,4.8
PA,Pennsylvania,4.4,11.8,22.6,13.6,8.5,4.4
RI,Rhode Island,3.5,11.9,14.4,14.3,7.4,5
SC,South Carolina,6.4,18.1,23,18,13.6,4.9
SD,South Dakota,3.4,10,19.7,14.2,9.8,2.7
TN,Tennessee,7.6,15.5,21.2,18.3,12,4.7
TX,Texas,5.3,17.6,23.3,17.2,19.1,3.9
UT,Utah,3.1,14.3,26.7,11.7,12.5,3.3
VT,Vermont,3,9.1,21.2,12.2,5,3.6
VA,Virginia,4.7,13.1,20,11.8,10.9,3.9
WA,Washington,3.8,12.3,22.5,13.2,9.2,4.1
WV,West Virginia,9.1,16.5,24.5,18.3,8.6,3.7
WI,Wisconsin,4.2,10.6,19.9,13.2,7.3,3.5
WY,Wyoming,3.5,11.8,30.6,11.2,12,2.9
PR,Puerto Rico,4.1,12.2,17.7,46.2,6.1,8.2
